,Unnamed: 4,Case,Disposition,Penalty,description,alcohol,parking,other,off duty,year
0,,2014-12780,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )",failed to remain at the scene of an accident.,False,False,True,False,2014
1,,2014-12780,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )",refused to submit to a breath test.,True,False,False,False,2014
2,,2014-12780,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )",wrongfully operated a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2014
3,,2014-12780,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2014
4,,2017-17722,GUILTY,"DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($517), VACATION DAYS (60 day(s) )","said lieutenant,  operated his personal or department vehicle in an improper fashion, including driving at an excessive speed, disobeying traffic signals, driving his vehicle against the flow of traffic, and operating the lights and siren of an unmarked department vehicle without police necessity",False,False,True,False,2017
5,,2016-15100,GUILTY,VACATION DAYS (30 day(s) ),"while on-duty, failed to determine the cause of the collision by inquiry and observation prior to preparing police accident report paperwork.",False,False,True,False,2016
6,,2016-15100,GUILTY,VACATION DAYS (30 day(s) ),"while on-duty, failed to fully investigate circumstance of a motor vehicle accident prior to preparing police accident report paperwork.",False,False,True,False,2016
7,,2018-19730,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (15 day(s) )","while off-duty having been arrested for alcohol related offenses, did thereafter fail to immediately notify a supervisor, commanding officer and/or operations unit room of the new york city police department.",True,False,False,False,2018
8,,2018-19730,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (15 day(s) )",while off-duty operated a motor vehicle on a public highway while his ability to do so was impaired by the consumption of alcohol.,True,False,False,False,2018
9,,2018-19730,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (15 day(s) )",while off-duty operated a motor vehicle on a public highway while under the influenece of alcohol.,True,False,False,False,2018
10,,2018-19730,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (15 day(s) )",while off-duty police officer ayala operated a motor vehicle while under the influence of alcohol and was found to be intoxicated with a blood alcohol level of 0.12% bac.,True,False,False,False,2018
11,,2018-19730,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (15 day(s) )",while off-duty was unfit for duty due to his consumption of alcohol,True,False,False,False,2018
12,,2010-1059,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",operated a motor vehicle while his ability was impaired by an intoxicant.,True,False,False,False,2010
13,,2010-1059,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",refused to submit to a breathalyzer test .,True,False,False,False,2010
14,,2010-1059,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2010
15,,2014-11875,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",refused to submit to a breath test to determine his alcohol comcentration.,True,False,False,False,2014
16,,2014-11875,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",wrongfully operated a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2014
17,,2019-21075,GUILTY,VACATION DAYS (25 day(s) ),violated department of motor vehicles rules.,False,False,True,False,2019
18,,2010-420,GUILTY,VACATION DAYS (30 day(s) ),"failed and neglected to maintain a current new york state driver's license, as required.",False,False,True,False,2010
19,,2014-11985,GUILTY,VACATION DAYS (20 day(s) ),utilized her personal vehicle while on-duty without permission and emergency necessity to do so.,False,False,True,False,2014
20,,2016-16536,GUILTY,VACATION DAYS (15 day(s) ),while on-duty failed to terminate a vehicle pursuit when the risk to the public outweighed the dangers of immediate apprehension of a suspect.,False,False,True,False,2016
21,,2016-16536,GUILTY,VACATION DAYS (15 day(s) ),while on-duty improperly utilized a department van in a vehicle pursuit.,False,False,True,False,2016
22,,2016-16813,GUILTY,VACATION DAYS (5 day(s) ),"while off-duty after having been arrested for operating a motor vehicle while under the influence of an intoxicant, wrongfully refused to submit to a chemical breath test to determine his blood alcohol concentration.",True,False,False,False,2016
23,,2010-2576,PLEADED GUILTY,VACATION DAYS (15 day(s) ),"while off-duty, operated an unregistered motor vehicle with improper license plates.",False,False,True,False,2010
24,,2014-11862,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",did fail and neglected to return his nypd restricted parking permit,False,True,False,False,2014
25,,2014-11862,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",did wrongfully display his nypd restricted parking permit.,False,True,False,False,2014
26,,2014-11131,GUILTY,PRE-TRIAL SUSPENSION DAYS (8 day(s) ),operated a motor vehicle in a reckless manner.,False,False,True,False,2014
